code,description,severity,affected_system,symptoms,impact,recommendation
P0101,Mass or Volume Air Flow Circuit Range/Performance Problem,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0102,Mass or Volume Air Flow Circuit Low Input,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0103,Mass or Volume Air Flow Circuit High Input,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0104,Mass or Volume Air Flow Circuit Intermittent,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0105,Manifold Absolute Pressure/Barometric Pressure Circuit Malfunction,Low,Vehicle Speed & Control,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0106,Manifold Absolute Pressure/Barometric Pressure Circuit Range/Performance Problem,Low,Vehicle Speed & Control,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0107,Manifold Absolute Pressure/Barometric Pressure Circuit Low Input,Low,Vehicle Speed & Control,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0108,Manifold Absolute Pressure/Barometric Pressure Circuit High Input,Low,Vehicle Speed & Control,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0109,Manifold Absolute Pressure/Barometric Pressure Circuit Intermittent,Low,Vehicle Speed & Control,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0110,IAT Circuit Malfunction,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0111,Intake Air Temperature Circuit Range/Performance Problem,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0112,Intake Air Temperature Circuit Low Input,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0113,Intake Air Temperature Sensor 1 Circuit High,Low,Fuel & Emission,"[""Check Engine Light on"", ""Possible reduced performance""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0114,Intake Air Temperature Circuit Intermittent,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0115,Engine Coolant Temperature Circuit Malfunction,Critical,Cooling System,"[""Temperature gauge high"", ""Engine overheating""]",Risk of engine overheating and severe damage,Stop driving immediately and seek emergency repair
P0116,Engine Coolant Temperature Circuit Range/Performance Problem,Critical,Cooling System,"[""Temperature gauge high"", ""Engine overheating""]",Risk of engine overheating and severe damage,Stop driving immediately and seek emergency repair
P0117,Engine Coolant Temperature Circuit Low Input,Critical,Cooling System,"[""Temperature gauge high"", ""Engine overheating""]",Risk of engine overheating and severe damage,Stop driving immediately and seek emergency repair
P0118,Engine Coolant Temperature Circuit High Input,High,Cooling System,"[""Temperature gauge high"", ""Engine overheating"", ""Steam from hood""]",Risk of engine overheating and severe damage,Schedule repair within 24-48 hours; avoid extended driving
P0119,Engine Coolant Temperature Circuit Intermittent,Critical,Cooling System,"[""Temperature gauge high"", ""Engine overheating""]",Risk of engine overheating and severe damage,Stop driving immediately and seek emergency repair
P0120,Throttle Position Sensor/Switch A Circuit Malfunction,High,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Schedule repair within 24-48 hours; avoid extended driving
P0121,Throttle Position Sensor/Switch A Circuit Range/Performance Problem,High,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Schedule repair within 24-48 hours; avoid extended driving
P0122,Throttle Position Sensor/Switch A Circuit Low Input,High,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Schedule repair within 24-48 hours; avoid extended driving
P0123,Throttle Position Sensor/Switch A Circuit High Input,High,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Schedule repair within 24-48 hours; avoid extended driving
P0124,Throttle Position Sensor/Switch A Circuit Intermittent,High,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Schedule repair within 24-48 hours; avoid extended driving
P0125,Insufficient Coolant Temperature for Closed Loop Fuel Control;,Critical,Fuel & Emission,"[""Poor fuel economy"", ""Temperature gauge high"", ""Rough idle"", ""Engine overheating""]",Risk of engine overheating and severe damage,Stop driving immediately and seek emergency repair
P0126,ECT Excessive Time to Closed Loop Fuel Control,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0128,Coolant Temperature Below Thermostat Regulating Temperature,Medium,Cooling System,"[""Temperature gauge high"", ""Engine overheating"", ""Steam from hood""]",Risk of engine overheating and severe damage,Schedule service within 1-2 weeks; monitor vehicle behavior
P0130,Coolant Thermostat Malfunction,Low,Cooling System,"[""Temperature gauge high"", ""Engine overheating""]",Risk of engine overheating and severe damage,Monitor vehicle; schedule routine maintenance inspection
P0131,O2 Sensor Circuit Malfunction (Bank 1 Sensor 1),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0132,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 1),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Failed emissions test"", ""Starting problems""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0133,O2 Sensor Circuit High Voltage (Bank 1 Sensor 1),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Failed emissions test"", ""Starting problems""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0134,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0135,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 1),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0136,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0137,O2 Sensor Circuit Malfunction (Bank 1 Sensor 2),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0138,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 2),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Failed emissions test"", ""Starting problems""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0139,O2 Sensor Circuit High Voltage (Bank 1 Sensor 2),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Failed emissions test"", ""Starting problems""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0140,O2 Sensor Circuit Slow Response (Bank 1 Sensor 2),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0141,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 2),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0142,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 2),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
