2026-07-10 16:02:54 | INFO     | pipeline | Running full Phase 9 pipeline on source: /tmp/pytest-of-root/pytest-0/test_driver_profile0/sample.csv
2026-07-10 16:02:54 | INFO     | preprocessing.data_loader | Starting VED preprocessing pipeline
2026-07-10 16:02:54 | INFO     | preprocessing.data_loader | Loaded 30 rows from sample.csv
2026-07-10 16:02:54 | INFO     | preprocessing.data_loader | Preprocessing complete: 30 rows, 1 vehicles, 1 trips
2026-07-10 16:02:54 | INFO     | feature_engineering.feature_extractor | Extracted features for 1 trips
2026-07-10 16:02:54 | INFO     | detection.behavior_detector | Detected 1 total events across 1 trips
2026-07-10 16:02:54 | INFO     | scoring.driver_scorer | Scored 1 trips (mean score=100.00)
2026-07-10 16:02:54 | INFO     | profiling.driver_profiler | Trip profile distribution: {'Safe Driver': 1}
2026-07-10 16:02:54 | INFO     | pipeline | Pipeline run complete: 1 trips, 1 drivers, 1 events
2026-07-10 16:02:54 | INFO     | pipeline | Running full Phase 9 pipeline on source: /tmp/pytest-of-root/pytest-0/test_driver_score0/sample.csv
2026-07-10 16:02:54 | INFO     | preprocessing.data_loader | Starting VED preprocessing pipeline
2026-07-10 16:02:54 | INFO     | preprocessing.data_loader | Loaded 30 rows from sample.csv
2026-07-10 16:02:54 | INFO     | preprocessing.data_loader | Preprocessing complete: 30 rows, 1 vehicles, 1 trips
2026-07-10 16:02:54 | INFO     | feature_engineering.feature_extractor | Extracted features for 1 trips
2026-07-10 16:02:54 | INFO     | detection.behavior_detector | Detected 1 total events across 1 trips
2026-07-10 16:02:54 | INFO     | scoring.driver_scorer | Scored 1 trips (mean score=100.00)
2026-07-10 16:02:54 | INFO     | profiling.driver_profiler | Trip profile distribution: {'Safe Driver': 1}
2026-07-10 16:02:54 | INFO     | pipeline | Pipeline run complete: 1 trips, 1 drivers, 1 events
2026-07-10 16:02:54 | INFO     | pipeline | Running full Phase 9 pipeline on source: /tmp/pytest-of-root/pytest-0/test_driver_coaching0/sample.csv
2026-07-10 16:02:54 | INFO     | preprocessing.data_loader | Starting VED preprocessing pipeline
2026-07-10 16:02:54 | INFO     | preprocessing.data_loader | Loaded 30 rows from sample.csv
2026-07-10 16:02:54 | INFO     | preprocessing.data_loader | Preprocessing complete: 30 rows, 1 vehicles, 1 trips
